                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0192,                 1.9903,                0.73377,                 2.0941,                0.80711,                0.74074,                0.82027,                0.54393,                0.83131,                0.72093,                0.81894,                 0.5161,                 2.0986,                 3.9014,                 1.3801,                 3.3166,             0.00066565,             0.00066565,             0.00066565
                      2,                 1.0608,                  2.035,                0.78871,                 2.1379,                0.77946,                0.72593,                0.79431,                0.49709,                0.77301,                0.72222,                0.79175,                0.46701,                 2.2182,                 4.1426,                 1.7316,                 3.4029,              0.0013317,              0.0013317,              0.0013317
                      3,                 1.0474,                 1.9845,                 0.7939,                 2.1316,                0.75572,                0.73148,                0.78304,                0.50031,                 0.7538,                0.72963,                 0.7786,                0.47591,                 2.1559,                 3.8437,                 1.6239,                 3.2547,              0.0019955,              0.0019955,              0.0019955
                      4,                 1.0415,                 1.9471,                0.79976,                 2.1105,                0.79271,                0.72233,                0.77698,                 0.5009,                0.79077,                 0.7209,                0.77677,                0.47721,                 2.1391,                 4.0441,                 1.5406,                 3.2589,              0.0019922,              0.0019922,              0.0019922
                      5,                 1.0065,                 1.8408,                0.78097,                 2.0891,                  0.762,                0.70557,                0.74918,                   0.47,                0.75466,                0.69495,                0.73552,                0.43812,                  2.209,                 3.9241,                    nan,                 3.3508,              0.0019861,              0.0019861,              0.0019861
                      6,                0.97324,                 1.7891,                0.76205,                 2.0865,                0.81241,                0.72983,                0.81582,                0.52502,                0.79355,                0.74444,                0.80661,                0.49509,                 2.1314,                    nan,                    nan,                 3.3157,              0.0019784,              0.0019784,              0.0019784
                      7,                0.97676,                 1.7648,                0.75992,                 2.0812,                0.80895,                0.70741,                0.79672,                0.52342,                0.80763,                0.70751,                0.80038,                0.50171,                  2.221,                 3.8189,                    nan,                 3.2842,              0.0019689,              0.0019689,              0.0019689
                      8,                0.94458,                 1.7277,                0.73305,                 2.0646,                 0.7623,                0.70078,                0.76037,                0.49061,                0.75667,                0.69444,                0.75391,                 0.4623,                 2.0941,                    nan,                    nan,                 3.1415,              0.0019577,              0.0019577,              0.0019577
                      9,                0.92981,                  1.669,                0.72453,                 2.0538,                0.79383,                0.73704,                0.80983,                0.52251,                0.78102,                0.72593,                0.79702,                0.49516,                 2.0584,                 3.8195,                    nan,                 3.1378,              0.0019449,              0.0019449,              0.0019449
                     10,                 0.9147,                 1.6183,                0.69893,                 2.0486,                0.78711,                0.71207,                0.78665,                0.49489,                0.78225,                0.71183,                0.77518,                0.46208,                 2.1843,                 3.8306,                 2.1216,                 3.2164,              0.0019305,              0.0019305,              0.0019305
                     11,                0.91439,                 1.6262,                0.70595,                 2.0544,                0.81263,                0.72284,                0.79118,                0.52311,                0.80374,                0.72593,                0.79236,                0.49773,                 2.0615,                 3.6044,                 1.5173,                  3.125,              0.0019144,              0.0019144,              0.0019144
